mAP: 0.9119
aeroplane       : 0.9355
bicycle         : 0.9091
bird            : 0.9089
boat            : 0.9063
bottle          : 0.8236
bus             : 0.9461
car             : 0.9080
cat             : 0.9091
chair           : 0.9017
cow             : 0.9392
diningtable     : 0.9621
dog             : 0.9091
horse           : 0.9385
motorbike       : 0.9088
person          : 0.8988
pottedplant     : 0.8856
sheep           : 0.9046
sofa            : 0.9262
train           : 0.9091
tvmonitor       : 0.9082
